addr,addr2,city1,city2,country,book,page
University of London, , London, , England, A Study in Scarlet, 9
Netley, , London, , England, A Study in Scarlet, 9
, , Bombay, , India, A Study in Scarlet, 9
, , Candahar, , Afganistan, A Study in Scarlet, 9
, , Maiwand, , Afganistan, A Study in Scarlet, 9
, , peshawar, , Afganistan, A Study in Scarlet, 9
, , portsmouth, , England, A Study in Scarlet, 10
Holborn, , London, , England, A Study in Scarlet, 10
221b Baker Street, , London, , England, A Study in Scarlet, 11
Scotland Yard, , London, , England, A Study in Scarlet, 26
3 Lauriston Gardens, Brixton Rd, London, , England, A Study in Scarlet, 28

, , cleveland, ohio, usa, A Study in Scarlet, 28

46 Audley Court, Kensington Park Gate, London, , England, A Study in Scarlet, 37
13 Duncan Street, Houndsitch, London, , England, A Study in Scarlet, 49
3 Mayfeild Place, Peckham, London, , England, A Study in Scarlet, 49
,Torquay Terrace , London, , England, A Study in Scarlet, 52
